placa,modelo,chassi,marca,ano,cor
ALD3834,CLIO,34574215969,RENAULT,2011,BRANCO
CCR8096,CRETA,88547875547,HYUNDAI,2020,BRANCO
DLA3438,PUNTO,98823483434,FIAT,2013,PRETO
EEE1056,ECO SPORT,56753453455,FORD,2020,AZUL
FFR1234,PALIO,32383478747,FIAT,2009,AMARELO
GQY6753,S10,72004160549,GM,2015,PRETO
IAC8974,TIGUAN,77130757746,VOLKSWAGEN,2022,AZUL
JIE0952,PASSAT,87493270405,VOLKSWAGEN,2016,CINZA
JNU7898,2020,87628347687,FORD,2020,VERDE
LVX7086,SANDERO,00025131958,RENAULT,1999,VERMELHO
LWJ9156,ONIX,40991078801,GM,2015,AZUL
MZT1826,GOL,41150439528,VOLKSWAGEN,1998,AMARELO
NAP5760,COMPASS,40364369549,JEEP,2017,PRETO
NEM5116,2008,69469771523,PEUGEOT,2018,PRETO
NFT2212,KWID,12344343433,RENAULT,2023,BRANCO